HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShot,AwayShot,HomeShotOnTarget,AwayShotOnTarget,GoalDifference,Result,HomeShotQuality,AwayShotQuality,HomeShotConversion,AwayShotConversion
Newcastle,Aston Villa,1,1,13.0,14.0,3.0,2.0,0,Draw,23.07692307692308,14.285714285714285,7.6923076923076925,7.142857142857142
Norwich,Everton,0,1,9.0,12.0,1.0,5.0,-1,Away Wins,11.11111111111111,41.66666666666667,0.0,8.333333333333332
Wolves,Bournemouth,1,0,10.0,4.0,2.0,0.0,1,Home Wins,20.0,0.0,10.0,0.0
Liverpool,Crystal Palace,4,0,21.0,3.0,7.0,0.0,4,Home Wins,33.33333333333333,0.0,19.047619047619047,0.0
Burnley,Watford,1,0,9.0,10.0,5.0,4.0,1,Home Wins,55.55555555555556,40.0,11.11111111111111,0.0
Southampton,Arsenal,0,2,12.0,10.0,3.0,5.0,-2,Away Wins,25.0,50.0,0.0,20.0
Chelsea,Man City,2,1,15.0,11.0,10.0,2.0,1,Home Wins,66.66666666666666,18.181818181818183,13.333333333333334,9.090909090909092
Aston Villa,Wolves,0,1,11.0,9.0,1.0,2.0,-1,Away Wins,9.090909090909092,22.22222222222222,0.0,11.11111111111111
Watford,Southampton,1,3,8.0,11.0,0.0,7.0,-2,Away Wins,0.0,63.63636363636363,12.5,27.27272727272727
Crystal Palace,Burnley,0,1,17.0,8.0,4.0,4.0,-1,Away Wins,23.52941176470588,50.0,0.0,12.5
Brighton,Man United,0,3,8.0,12.0,2.0,6.0,-3,Away Wins,25.0,50.0,0.0,25.0
Arsenal,Norwich,4,0,13.0,8.0,8.0,2.0,4,Home Wins,61.53846153846154,25.0,30.76923076923077,0.0
Bournemouth,Newcastle,1,4,12.0,12.0,1.0,7.0,-3,Away Wins,8.333333333333332,58.333333333333336,8.333333333333332,33.33333333333333
Everton,Leicester,2,1,7.0,15.0,2.0,3.0,1,Home Wins,28.57142857142857,20.0,28.57142857142857,6.666666666666667
West Ham,Chelsea,3,2,10.0,17.0,4.0,6.0,1,Home Wins,40.0,35.294117647058826,30.0,11.76470588235294
Sheffield United,Tottenham,3,1,7.0,9.0,5.0,2.0,2,Home Wins,71.42857142857143,22.22222222222222,42.85714285714285,11.11111111111111
Man City,Liverpool,4,0,14.0,11.0,6.0,3.0,4,Home Wins,42.85714285714285,27.27272727272727,28.57142857142857,0.0
Norwich,Brighton,0,1,12.0,8.0,1.0,2.0,-1,Away Wins,8.333333333333332,25.0,0.0,12.5
Leicester,Crystal Palace,3,0,15.0,7.0,4.0,1.0,3,Home Wins,26.666666666666668,14.285714285714285,20.0,0.0
Man United,Bournemouth,5,2,19.0,7.0,10.0,3.0,3,Home Wins,52.63157894736842,42.85714285714285,26.31578947368421,28.57142857142857
Wolves,Arsenal,0,2,10.0,8.0,1.0,5.0,-2,Away Wins,10.0,62.5,0.0,25.0
Chelsea,Watford,3,0,21.0,7.0,9.0,3.0,3,Home Wins,42.85714285714285,42.85714285714285,14.285714285714285,0.0
Burnley,Sheffield United,1,1,9.0,10.0,4.0,3.0,0,Draw,44.44444444444444,30.0,11.11111111111111,10.0
Newcastle,West Ham,2,2,11.0,17.0,4.0,7.0,0,Draw,36.36363636363637,41.17647058823529,18.181818181818183,11.76470588235294
Liverpool,Aston Villa,2,0,6.0,9.0,4.0,3.0,2,Home Wins,66.66666666666666,33.33333333333333,33.33333333333333,0.0
Southampton,Man City,1,0,8.0,26.0,4.0,6.0,1,Home Wins,50.0,23.07692307692308,12.5,0.0
Tottenham,Everton,1,0,12.0,11.0,2.0,3.0,1,Home Wins,16.666666666666664,27.27272727272727,8.333333333333332,0.0
