HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShot,AwayShot,HomeShotOnTarget,AwayShotOnTarget,GoalDifference,Result,HomeShotQuality,AwayShotQuality,HomeShotConversion,AwayShotConversion
Man United,Leicester,2,1,8.0,13.0,6.0,4.0,1,Home Wins,75.0,30.76923076923077,25.0,7.6923076923076925
Bournemouth,Cardiff,2,0,12.0,10.0,4.0,1.0,2,Home Wins,33.33333333333333,10.0,16.666666666666664,0.0
Fulham,Crystal Palace,0,2,15.0,10.0,6.0,9.0,-2,Away Wins,40.0,90.0,0.0,20.0
Huddersfield,Chelsea,0,3,6.0,13.0,1.0,4.0,-3,Away Wins,16.666666666666664,30.76923076923077,0.0,23.076923076923077
Newcastle,Tottenham,1,2,15.0,15.0,2.0,5.0,-1,Away Wins,13.333333333333334,33.33333333333333,6.666666666666667,13.333333333333334
Watford,Brighton,2,0,19.0,6.0,5.0,0.0,2,Home Wins,26.31578947368421,0.0,10.526315789473683,0.0
Wolves,Everton,2,2,11.0,6.0,4.0,5.0,0,Draw,36.36363636363637,83.33333333333334,18.181818181818183,33.33333333333333
Arsenal,Man City,0,2,9.0,17.0,3.0,8.0,-2,Away Wins,33.33333333333333,47.05882352941176,0.0,11.76470588235294
Liverpool,West Ham,4,0,18.0,5.0,8.0,2.0,4,Home Wins,44.44444444444444,40.0,22.22222222222222,0.0
Southampton,Burnley,0,0,18.0,16.0,3.0,6.0,0,Draw,16.666666666666664,37.5,0.0,0.0
Cardiff,Newcastle,0,0,12.0,12.0,1.0,6.0,0,Draw,8.333333333333332,50.0,0.0,0.0
Chelsea,Arsenal,3,2,24.0,15.0,11.0,6.0,1,Home Wins,45.83333333333333,40.0,12.5,13.333333333333334
Everton,Southampton,2,1,13.0,15.0,7.0,4.0,1,Home Wins,53.84615384615385,26.666666666666668,15.384615384615385,6.666666666666667
Leicester,Wolves,2,0,6.0,11.0,2.0,3.0,2,Home Wins,33.33333333333333,27.27272727272727,33.33333333333333,0.0
Tottenham,Fulham,3,1,25.0,10.0,11.0,3.0,2,Home Wins,44.0,30.0,12.0,10.0
West Ham,Bournemouth,1,2,11.0,12.0,5.0,5.0,-1,Away Wins,45.45454545454545,41.66666666666667,9.090909090909092,16.666666666666664
Brighton,Man United,3,2,6.0,9.0,3.0,3.0,1,Home Wins,50.0,33.33333333333333,50.0,22.22222222222222
Burnley,Watford,1,3,8.0,9.0,3.0,6.0,-2,Away Wins,37.5,66.66666666666666,12.5,33.33333333333333
Man City,Huddersfield,6,1,32.0,5.0,14.0,1.0,5,Home Wins,43.75,20.0,18.75,20.0
Crystal Palace,Liverpool,0,2,8.0,16.0,2.0,6.0,-2,Away Wins,25.0,37.5,0.0,12.5
Arsenal,West Ham,3,1,17.0,13.0,10.0,5.0,2,Home Wins,58.82352941176471,38.46153846153847,17.647058823529413,7.6923076923076925
Bournemouth,Everton,2,2,17.0,11.0,5.0,3.0,0,Draw,29.411764705882355,27.27272727272727,11.76470588235294,18.181818181818183
Huddersfield,Cardiff,0,0,5.0,14.0,1.0,4.0,0,Draw,20.0,28.57142857142857,0.0,0.0
Liverpool,Brighton,1,0,22.0,6.0,8.0,2.0,1,Home Wins,36.36363636363637,33.33333333333333,4.545454545454546,0.0
Southampton,Leicester,1,2,11.0,8.0,5.0,5.0,-1,Away Wins,45.45454545454545,62.5,9.090909090909092,25.0
Wolves,Man City,1,1,11.0,18.0,2.0,6.0,0,Draw,18.181818181818183,33.33333333333333,9.090909090909092,5.555555555555555
Fulham,Burnley,4,2,25.0,12.0,12.0,2.0,2,Home Wins,48.0,16.666666666666664,16.0,16.666666666666664
Newcastle,Chelsea,1,2,6.0,15.0,2.0,3.0,-1,Away Wins,33.33333333333333,20.0,16.666666666666664,13.333333333333334
Watford,Crystal Palace,2,1,13.0,9.0,5.0,3.0,1,Home Wins,38.46153846153847,33.33333333333333,15.384615384615385,11.11111111111111
Man United,Tottenham,0,3,23.0,9.0,5.0,5.0,-3,Away Wins,21.73913043478261,55.55555555555556,0.0,33.33333333333333
Brighton,Fulham,2,2,15.0,10.0,5.0,5.0,0,Draw,33.33333333333333,50.0,13.333333333333334,20.0
Chelsea,Bournemouth,2,0,24.0,8.0,6.0,1.0,2,Home Wins,25.0,12.5,8.333333333333332,0.0
Crystal Palace,Southampton,0,2,20.0,19.0,6.0,6.0,-2,Away Wins,30.0,31.57894736842105,0.0,10.526315789473683
Everton,Huddersfield,1,1,11.0,9.0,1.0,6.0,0,Draw,9.090909090909092,66.66666666666666,9.090909090909092,11.11111111111111
Leicester,Liverpool,1,2,12.0,10.0,5.0,4.0,-1,Away Wins,41.66666666666667,40.0,8.333333333333332,20.0
Man City,Newcastle,2,1,24.0,3.0,8.0,2.0,1,Home Wins,33.33333333333333,66.66666666666666,8.333333333333332,33.33333333333333
West Ham,Wolves,0,1,13.0,15.0,3.0,6.0,-1,Away Wins,23.076923076923077,40.0,0.0,6.666666666666667
Burnley,Man United,0,2,9.0,21.0,2.0,9.0,-2,Away Wins,22.22222222222222,42.857142857142854,0.0,9.523809523809524
Cardiff,Arsenal,2,3,14.0,17.0,3.0,11.0,-1,Away Wins,21.428571428571427,64.70588235294117,14.285714285714285,17.647058823529413
Watford,Tottenham,2,1,7.0,11.0,3.0,2.0,1,Home Wins,42.857142857142854,18.181818181818183,28.57142857142857,9.090909090909092
Bournemouth,Leicester,4,2,10.0,14.0,5.0,8.0,2,Home Wins,50.0,57.14285714285714,40.0,14.285714285714285
Chelsea,Cardiff,4,1,18.0,6.0,7.0,2.0,3,Home Wins,38.88888888888889,33.33333333333333,22.22222222222222,16.666666666666664
Huddersfield,Crystal Palace,0,1,15.0,7.0,2.0,2.0,-1,Away Wins,13.333333333333334,28.57142857142857,0.0,14.285714285714285
Man City,Fulham,3,0,28.0,9.0,9.0,3.0,3,Home Wins,32.142857142857146,33.33333333333333,10.714285714285714,0.0
Newcastle,Arsenal,1,2,4.0,12.0,2.0,2.0,-1,Away Wins,50.0,16.666666666666664,25.0,16.666666666666664
Tottenham,Liverpool,1,2,11.0,17.0,3.0,10.0,-1,Away Wins,27.27272727272727,58.82352941176471,9.090909090909092,11.76470588235294
Watford,Man United,1,2,14.0,9.0,5.0,6.0,-1,Away Wins,35.714285714285715,66.66666666666666,7.142857142857142,22.22222222222222
Everton,West Ham,1,3,16.0,9.0,4.0,4.0,-2,Away Wins,25.0,44.44444444444444,6.25,33.33333333333333
Wolves,Burnley,1,0,30.0,7.0,7.0,2.0,1,Home Wins,23.333333333333332,28.57142857142857,3.3333333333333335,0.0
Southampton,Brighton,2,2,14.0,12.0,5.0,4.0,0,Draw,35.714285714285715,33.33333333333333,14.285714285714285,16.666666666666664
Brighton,Tottenham,1,2,8.0,16.0,4.0,7.0,-1,Away Wins,50.0,43.75,12.5,12.5
Burnley,Bournemouth,4,0,12.0,19.0,5.0,5.0,4,Home Wins,41.66666666666667,26.31578947368421,33.33333333333333,0.0
Cardiff,Man City,0,5,2.0,21.0,2.0,10.0,-5,Away Wins,100.0,47.61904761904761,0.0,23.809523809523807
Crystal Palace,Newcastle,0,0,16.0,6.0,4.0,3.0,0,Draw,25.0,50.0,0.0,0.0
Fulham,Watford,1,1,15.0,11.0,3.0,6.0,0,Draw,20.0,54.54545454545454,6.666666666666667,9.090909090909092
Leicester,Huddersfield,3,1,18.0,9.0,8.0,2.0,2,Home Wins,44.44444444444444,22.22222222222222,16.666666666666664,11.11111111111111
Liverpool,Southampton,3,0,12.0,7.0,4.0,1.0,3,Home Wins,33.33333333333333,14.285714285714285,25.0,0.0
Man United,Wolves,1,1,15.0,11.0,6.0,8.0,0,Draw,40.0,72.72727272727273,6.666666666666667,9.090909090909092
Arsenal,Everton,2,0,9.0,9.0,5.0,6.0,2,Home Wins,55.55555555555556,66.66666666666666,22.22222222222222,0.0
West Ham,Chelsea,0,0,6.0,17.0,1.0,6.0,0,Draw,16.666666666666664,35.294117647058826,0.0,0.0
Arsenal,Watford,2,0,9.0,13.0,2.0,4.0,2,Home Wins,22.22222222222222,30.76923076923077,22.22222222222222,0.0
Chelsea,Liverpool,1,1,10.0,13.0,4.0,6.0,0,Draw,40.0,46.15384615384615,10.0,7.6923076923076925
Everton,Fulham,3,0,19.0,6.0,6.0,0.0,3,Home Wins,31.57894736842105,0.0,15.789473684210526,0.0
Huddersfield,Tottenham,0,2,9.0,10.0,5.0,6.0,-2,Away Wins,55.55555555555556,60.0,0.0,20.0
Man City,Brighton,2,0,28.0,4.0,8.0,1.0,2,Home Wins,28.57142857142857,25.0,7.142857142857142,0.0
Newcastle,Leicester,0,2,6.0,12.0,1.0,5.0,-2,Away Wins,16.666666666666664,41.66666666666667,0.0,16.666666666666664
West Ham,Man United,3,1,8.0,9.0,3.0,4.0,2,Home Wins,37.5,44.44444444444444,37.5,11.11111111111111
Wolves,Southampton,2,0,14.0,17.0,6.0,6.0,2,Home Wins,42.857142857142854,35.294117647058826,14.285714285714285,0.0
Cardiff,Burnley,1,2,19.0,3.0,5.0,2.0,-1,Away Wins,26.31578947368421,66.66666666666666,5.263157894736842,66.66666666666666
Bournemouth,Crystal Palace,2,1,11.0,10.0,5.0,2.0,1,Home Wins,45.45454545454545,20.0,18.181818181818183,10.0
